symbol,fiscaldate_end,reported_currency,operating_cashflow,payments_foroperating_activities,proceeds_fromoperating_activities,changein_operating_liabilities,changein_operating_assets,dpr_depletion_amort,capital_expenditures,changein_receivables,changein_inventory,profit_loss,cashflow_frominvestment,cashflow_fromfinancing,proceeds_fromrepayment_shortterm_debt,payments_forrepurchase_commonstock,payments_forrepurchase_equity,payments_forrepurchase_preferredstock,div_payout,div_payout_commonstock,div_payout_preferredstock,proceedsFromIssuanceOfCommonStock,proceeds_fromissuance_longterm_debtcapital_secnet,proceeds_fromissuance_preferredstock,proceeds_fromrepurchase_equity,proceeds_fromsale_treasurystock,changein_cash_cashequivalents,changein_exchangerate,netincome
AAAP,2015-09-30,USD,0.0,0,0,0,0,0.0,8317000.0,0,0.0,0,0.0,21153000.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
AAC,2014-09-30,USD,5796000.0,0,0,0,0,0.0,12021000.0,0,0.0,0,0.0,12326000.0,0,0,0,0,-79000.0,-79000.0,0,0,0,0,0.0,0,0,0,2458000.0
ACAMU,2019-03-31,USD,-168680.0,0,0,0,0,0.0,0.0,0,0.0,0,-300000000.0,302379760.0,0,0,0,0,0.0,0.0,0,0,0,0,294000000.0,0,0,0,406170.0
ACIU,2016-09-30,USD,8474000.0,0,0,0,0,59000.0,306000.0,0,0.0,0,-306000.0,68100000.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,-9102000.0
ACI,2020-06-20,USD,2091900000.0,63500000,0,733100000,-63100000,0.0,0.0,4700000,-67800000.0,586200000,-399400000.0,-106900000.0,0,1680000000,1680000000,0,0.0,0.0,0,0,2000000000,0,0.0,0,1585600000,0,586200000.0
ACLI,2005-09-30,USD,10357000.0,0,0,0,0,0.0,26129000.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,3506000.0
ACMR,2017-09-30,USD,-4661000.0,0,0,0,0,0.0,123000.0,3129000,3744000.0,-1282000,-8486000.0,20006000.0,0,0,0,0,0.0,0.0,0,0,0,0,15300000.0,0,3868000,31000,-955000.0
ACOM,2009-09-30,USD,51765000.0,0,0,0,0,0.0,7566000.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,4041000.0
ADHD,2013-06-30,USD,0.0,0,0,0,0,0.0,3000.0,0,0.0,0,0.0,22035000.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
ADILW,2018-06-30,USD,-188940.0,0,0,0,0,0.0,0.0,0,0.0,-1792356,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,96059,0,-1792356.0
ADIL,2018-06-30,USD,-188940.0,0,0,0,0,140.0,0.0,0,0.0,-1792356,35117.0,284999.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,96059,0,-1792356.0
ADNC,2012-03-31,USD,3795000.0,0,0,0,0,0.0,700000.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,4169000.0
ADSW,2016-09-30,USD,87300000.0,0,0,-5700000,200000,64000000.0,124200000.0,-1300000,0.0,3800000,-54100000.0,-33900000.0,0,0,0,0,0.0,0.0,0,0,32000000,0,0.0,0,-700000,0,3700000.0
AFCO,2015-09-30,USD,2888000.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,25341000.0,0,0,0,0,-1392000.0,-1392000.0,0,0,0,0,0.0,0,0,0,0.0
AFYA,2019-06-30,BRL,51078000.0,0,0,0,0,19387000.0,11745000.0,0,976000.0,0,-186796000.0,-41135000.0,0,0,0,0,-10.92,-10.92,0,0,0,0,0.0,0,0,0,16317000.0
