,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,MEDS,2020-09-30,USD,1929302,6324839,4402967,4402967,145821,1783481,None,1810020,None,-7430,None,7430,6332269,None,1250,None,138391,None,7430,145821,138391,145821,None,138391
1,MEDS,2020-06-30,USD,2004772,6585327,4587865,4587865,-535277,2540049,None,2540049,None,-7310,None,7310,6592637,None,1250,None,-542587,None,7310,-535277,-535277,-535277,None,-542587
2,MEDS,2020-03-31,USD,1640136,2195396,563184,563184,188227,1451909,None,1460909,None,-7924,-7920,7924,2203320,None,1250,None,180303,None,7924,188227,180303,188227,None,180303
3,MEDS,2019-12-31,USD,1250297,1510993,445606,445606,-357093,1238870,None,1601306,None,-6410,-6410,6410,-5918861,46800,1250,None,-495203,None,184910,-310293,-495203,-357093,None,-495203
4,MEDS,2019-09-30,USD,1310509,2298041,1000917,1000917,177853,1132656,None,1138740,None,-13385,-175570,13385,2311426,None,1250,None,27565,None,13385,-209050,27565,177853,None,27565
5,MEDS,2019-06-30,USD,1163276,1882982,719706,753138,132705,1030571,None,1030571,None,-15874,-74720,15874,1916414,None,1250,None,57981,None,15874,73855,73855,132705,None,57981
6,MEDS,2019-03-31,USD,1146682,1512521,365839,365839,171759,974923,None,974923,None,-17558,-46530,17558,1512521,None,1250,None,125230,None,17558,142787,125229,171759,None,125229
7,MEDS,2018-12-31,USD,846992,1293696,446704,446704,-309619,1156611,None,1158882,None,-17513,None,17513,0,None,None,None,-187993,None,17513,-123008,-123008,-309619,None,-187993
8,MEDS,2018-09-30,USD,845126,847471,2345,2345,91829,753297,None,753297,None,-12636,None,12636,-7444,None,None,None,94250,None,20080,94249,94249,91829,None,94249
9,MEDS,2018-06-30,USD,837688,837688,0,None,31446,806242,None,806242,None,-10933,None,10933,None,None,None,None,None,None,10933,20513,20513,31446,None,20513
10,MEDS,2018-03-31,USD,852923,852923,0,None,98728,754195,None,754195,None,-16459,None,16459,None,None,None,None,None,None,16459,82269,82269,98728,None,82269
11,MEDS,2017-12-31,USD,789740,-2315152,-3104892,None,160247,629493,None,629493,None,-20341,None,20341,None,None,None,None,None,None,20341,139906,139906,160247,None,139906
12,MEDS,2017-09-30,USD,735869,735869,0,None,89615,646254,None,646254,None,-30878,None,30878,None,None,None,None,None,None,35922,76193,76193,89615,None,76193
13,MEDS,2017-06-30,USD,704728,704728,0,None,48783,655945,None,655945,None,-44113,None,44113,None,None,None,None,None,None,44113,-6842,-6842,48783,None,-6842
14,MEDS,2017-03-31,USD,745943,745943,0,None,141450,604493,None,604493,None,-61724,None,61724,None,None,None,None,None,None,61724,79726,79726,141450,None,79726
15,MEDS,2016-12-31,USD,412728,-1857553,-2270281,None,1131012,-718284,None,-720067,None,12955,None,-12955,None,None,None,None,None,None,-12955,941933,-443050,1131012,None,-443050
16,MEDS,2016-09-30,USD,572606,803278,230672,None,-791900,1364506,None,1355406,None,-50980,None,50980,None,None,None,6500,None,None,50980,-791900,-842880,-791900,-785400,-842880
17,MEDS,2016-06-30,USD,649101,1688990,1039889,None,-1013394,1662495,None,1662495,None,-50842,None,50842,None,None,None,None,None,None,50842,-1013394,-1013394,-1013394,None,-1101815
18,MEDS,2016-03-31,USD,831069,1847151,1016082,None,-309747,1140816,None,1141527,None,-62633,None,62633,None,None,None,None,None,None,62633,-309747,-372380,-309747,None,-372380
19,MEDS,2015-12-31,USD,876037,1491000,614963,None,-441385,1317422,None,1300016,None,-54060,None,54060,None,None,None,None,None,None,54060,-441385,-495445,-441385,None,-495445
